gid,ds_endereco_farmacia,cidade,uf
17,AVENIDA NOEL NUTELS Nº 811,Manaus,AM
444,"RUA CARLOS CORREIA, 528",Aracaju,SE
543,R PRESIDENTE JUSCELINO KUBSTCHEK Nº 1976,Gurupi,TO
234,TRAV COMANDANTE CASTILHO Nº 600,Altamira,PA
41,AV ALMIRANTE AURELINO LINHARES S/N,Ilhéus,BA
13,AV MARECHAL DEODORO Nº13,Humaitá,AM
188,RUA NOVA ERA N 72,Itabira,MG
544,AV JK QUADRA 106 NORTE ( ACSV NE12 LOTE 16),Palmas,TO
26,RUA UBALDO FIGUEIRA,Santana,AP
175,"RUA DA FORMIGA, Nº140",Belo Horizonte,MG
260,"TR JOAO PESSOA, SN E",Itaituba,PA
168,RUA MIGUEL SIMAO 528,Timon,MA
243,AVENIDA INDEPENDENCIA Nº 13,Belém,PA
68,AVENIDA GRAÇA LESSA Nº888 VALE DO OGUNJA,Salvador,BA
386,AVENIDA PRESIDENTE DUTRA Nº 213,Mossoró,RN
73,"RUA LIMA E SILVA, Nº 249",Salvador,BA
315,RUA ANTONIO PEDROSA N 210B,Petrolina,PE
113,AVENIDA CORONEL ARAUJO LIMA Nº 1430,Russas,CE
396,RUA JOAQUIM NABUCO N 2301,Porto Velho,RO
306,AVENIDA BELMINO CORREIA Nº 840,Camaragibe,PE
321,PRACA SANTO ANTONIO SN,Parnaíba,PI
186,RUA MARECHAL DEODORO Nº 368,Governador Valadares,MG
119,RUA JOAO LOPES ROGERIO Nº 08,Cariacica,ES
271,RUA ADEMAR GUIMARAES SN QUADRA 82,Redenção,PA
445,RUA ESTANCIA N 772,Aracaju,SE
155,RUA CEARA Nº 580,Imperatriz,MA
394,"RUA PEDRO BEZERRA FILHO, Nº 15",Parnamirim,RN
27,"PRACA DA BANDEIRA, SN",Alagoinhas,BA
252,TRAVESSA CONEGO MIGUEL INACIO Nº 172,Cametá,PA
19,AVAUTAZ MIRIM Nº 114 SHOPPING GRANDE CIRCULAR,Manaus,AM
75,"RUA LADEIRA DOS GALES, Nº 33 -",Salvador,BA
214,RUA XV DE NOVEMBRO N 35 LOJAS 101 E 102,Timóteo,MG
5,"AV. CAXANGA, Nº 30 PEDRA VELHA",Delmiro Gouveia,AL
101,AVENIDA GENERAL OSORIO DE PAIVA Nº 2955 AREA CENTRAL DO TERMINAL DE INTEGRAÇÃO D,Fortaleza,CE
178,"RUA FELIPE DOS SANTOS, 445",Betim,MG
37,RUA SENADOR QUINTINO SN,Feira de Santana,BA
255,TRAVESSA CONEGO LEITAO Nº 1941,Castanhal,PA
38,"RUA CARLOS GOMES, Nº 81",Feira de Santana,BA
292,"RUA GRACILIANO DELGADO,",João Pessoa,PB
542,RUA DAS MANGUEIRAS Nº 1104 QUADRA 17 LOTE 9A,Araguaína,TO
105,RUA CÕNEGO BESSA Nº2515,Limoeiro do Norte,CE
392,RUA MARIZE BASTIER N 203,Natal,RN
213,AVENIDA FRANCISCO SA Nº 222,Teófilo Otoni,MG
153,"RUA HERCULANA VIEIRA, N",Cururupu,MA
341,RUA PEREIRA PEIXOTO N 102,Angra dos Reis,RJ
107,RUA JOAO CONRADO SN,Maracanaú,CE
317,"AVENIDA CAXANGA,188",Recife,PE
217,AV FIDELIS REIS Nº 271 SALA 108,Uberaba,MG
39,RUA BARAO DE COTEGIPE Nº 715,Feira de Santana,BA
64,ESTRADA DA MANDICHURIA S/N,Salvador,BA
268,RUA BACABAL Nº 195,Paragominas,PA
210,RUA GETULIO VARGAS Nº 98,São João del Rei,MG
174,"RUA ALCINDO VIEIRA, N 69",Belo Horizonte,MG
320,"RUA ANHANGUERA,1189",Parnaíba,PI
3,RUA EXPEDICIONARIO BRASIEIROS Nº 61,Arapiraca,AL
108,NAPOLEAO LIMA 253,Maranguape,CE
291,RUA JOAQUIM PIRES N 371,João Pessoa,PB
270,AV FLORIANO PEIXOTO SN,Portel,PA
259,RUA PADRE VITÓRIO SN,Igarapé-Miri,PA
235,RUA ZACARIAS DE ASSUNC O,Ananindeua,PA
184,RUA MARIA FRANCISCA DE J,Conselheiro Pena,MG
86,"PRACA VITOR BRITO, Nº 06 A",Vitória da Conquista,BA
125,AV PRESIDENTE FLORENTINO AVIDOS Nº 321,Vitória,ES
53,PRACA PEDRO PEREIRA PRIMO S/N,Juazeiro,BA
328,RUA OSVALDO COSTA E SILVA S/N,Teresina,PI
327,"R FELIX PACHECO, 1530",Teresina,PI
197,RUA CONEGO CHAVES Nº 309,Montes Claros,MG
288,RUA ALMIRANTE BARROSO 355,Campina Grande,PB
157,RUA SENADOR VITORINO FREIRE S/N,Lago da Pedra,MA
166,AVENIDA DOS FRANCESES Nº 375 A LOJA 04,São Luís,MA
387,RUA DESEMBARGADOR DIONISIO FIGUEIRA Nº 291,Mossoró,RN
52,AVENIDA PRESIDENTE DUTRA,Jequié,BA
248,"RUA SAO DOMINGOS, Nº 840",Belém,PA
156,RUA CORNEL CATAO SNº,Itapecuru Mirim,MA
266,PRACA FERNANDO GUILHON S,Monte Alegre,PA
345,RUA TENENTE JOSE EDUARDO Nº 461,Barra Mansa,RJ
114,CONSELHEIRO JOSE JULHO Nº 887,Sobral,CE
42,"CENTRAL DE ABASTECIMENTO DO MALHADO - PAVILHÃO A, S/N",Ilhéus,BA
263,FOLHA 31 QUADRA 11 LOTE,Marabá,PA
322,RUA OLAVO BILAC SN,Picos,PI
29,PRACA CORONEL ANTONIO BALBINO Nº 41,Barreiras,BA
