gid,lat,long
17,-3.0206756,-59.9768139
444,-10.9128701,-37.0738442
543,-11.7120262,-49.0577212
234,-3.2038706,-52.2098158
41,-14.7997132,-39.0359037
13,-7.2219137,-62.4504154
188,-19.6269473,-43.230096
544,-10.3447781,-48.2998294
26,0.1755009,-51.4309582
175,-19.9076079,-43.952023
260,-4.2561028,-55.9887745
168,-5.1123416,-42.8235685
243,-1.4540978,-48.4916789
68,-12.9937824,-38.4922195
386,-5.7877742,-35.1999112
73,-12.9488576,-38.4941904
315,-9.3809135,-40.4999942
113,-4.8149897,-38.1054495
396,-8.7528012,-63.8679364
306,-8.0161148,-34.9919961
321,-2.9028575,-41.7792507
186,-18.8610867,-41.9469281
119,-20.3390799,-40.3839551
271,-8.0359447,-50.0367343
445,-10.9159926,-37.0547924
155,-5.5364337,-47.4892304
394,-5.9185465,-35.2766442
27,-12.1199217,-38.4192541
252,-2.2355058,-49.5279996
19,-3.042903,-59.9161453
75,-12.9745522,-38.4968182
214,-19.5391281,-42.6453916
5,-9.3700225,-38.1054495
101,-3.7746557,-38.5716667
178,-19.9749505,-44.207608
37,-12.2239915,-38.985066
255,-1.2856573,-47.919347
38,-12.2932029,-38.9641978
292,-7.1731838,-34.8927615
542,-7.208883,-48.237125
105,-5.142803,-38.094207
392,-5.8167166,-35.2011079
213,-17.851259,-41.5137769
153,-1.8867371,-44.813111
341,-23.0095586,-44.322473
107,-3.8603169,-38.5861013
317,-8.0562906,-34.8748317
217,-19.7391116,-47.9230571
39,-12.2932029,-38.9641978
64,-12.9515958,-38.4784214
268,-3.0050767,-47.3535246
210,-21.136839,-44.2739556
174,-19.9778007,-44.0175346
320,-2.9252282,-41.7631351
3,-9.7502604,-36.6593137
108,-3.8924489,-38.6847522
291,-7.10374,-34.8541389
270,-2.5277756,-50.8456323
259,-1.9207489,-49.1221414
235,-1.3530345,-48.3713774
184,-19.2258089,-41.6365788
86,-14.8619367,-40.8348715
125,-20.3166748,-40.3458631
53,-9.4150066,-40.5101704
328,-5.0587533,-42.7637913
327,-5.091331,-42.7956044
197,-16.7031651,-43.8434361
288,-7.2186163,-35.9032676
157,-4.497279,-45.2243578
166,-2.538834,-44.2692196
387,-5.1880361,-37.3441344
52,-13.860509,-40.0850925
248,-1.456823,-48.4412549
156,-3.4543432,-44.1720266
266,-1.1089868,-54.2593118
345,-22.5466601,-44.1805437
114,-3.6823593,-40.3537822
42,-14.7724278,-39.0580511
263,-1.4081702,-48.4319297
322,-7.06175,-41.524971
29,-12.1444393,-44.9965028
158,-2.5000299,-44.1150413
393,-5.7853957,-35.2066038
74,-13.0113641,-38.4734227
343,-22.4596368,-43.8314886
316,-9.3811538,-40.5305175
89,-3.9997372,-38.4429274
54,-9.4444512,-40.4898162
71,-12.8997915,-38.4205695
275,-9.2291157,-50.5135589
279,-3.7590857,-49.6694446
32,-12.7073296,-38.3231594
69,-12.9210941,-38.5001028
167,-2.534633,-44.3035453
12,-4.8798602,-64.7162415
241,-1.4617654,-48.4574892
95,-3.7329267,-38.6713321
22,-2.6272387,-56.7229552
267,0.5080915,-57.6439048
302,-7.1660303,-34.9754651
278,-2.6729327,-48.2393528
100,-3.779545,-38.5559162
451,-10.2475973,-36.8142605
164,-2.6987619,-44.8317802
187,-19.480409,-42.523742
120,-20.3388418,-40.3675423
76,-12.9311523,-38.5106125
324,-5.1106204,-42.7479203
34,-12.9795126,-39.2640013
20,-2.9914283,-60.0230559
191,-21.7645228,-43.354809
10,-9.6700201,-35.7151604
287,-7.2186163,-35.9032676
62,-12.9529647,-38.4705355
313,-8.0127621,-34.8472401
63,-12.9740831,-38.4310918
349,-22.8621116,-42.0212609
211,-19.455961,-44.2431628
176,-19.9309713,-43.9448709
61,-12.8592603,-38.4626486
91,-7.3147428,-39.2972082
285,-7.2186163,-35.9032676
78,-12.9688312,-39.2574511
325,-5.0363757,-42.8199107
6,-9.5410775,-35.7229421
98,-7.2324552,-39.4101063
181,-19.7828992,-42.1403768
193,-21.516582,-42.65514
23,0.5582388,-68.1431414
389,-5.8396074,-35.1901151
245,-1.3042651,-48.4812248
202,-18.5926206,-46.5203453
65,-12.9297452,-38.4192541
281,-1.4391409,-46.3624686
99,-3.7416377,-38.5230905
24,-4.4606478,-65.6658568
397,-8.7528012,-63.8679364
85,-14.8498592,-40.8535212
2,-8.1727629,-70.3536699
218,-21.5576492,-45.4345074
25,0.0272375,-51.1245677
67,-12.9542364,-38.4495018
169,-3.7127631,-43.8673222
314,-7.9378695,-40.2271243
303,-6.7604571,-38.2308837
293,-7.0973916,-34.8355672
170,-3.2329855,-46.1326778
18,-3.0285642,-60.0201653
206,-19.8057804,-44.0270562
238,-1.3942283,-48.4212808
118,-20.8478935,-41.1162273
286,-7.2186163,-35.9032676
489,-22.2983392,-48.5528254
137,-16.28488,-48.9721848
370,-22.8131062,-43.2207073
423,-29.7637086,-51.1559259
353,-22.8709554,-43.778885
517,-22.0157824,-47.8847321
413,-30.0310388,-51.2173798
495,-22.4361928,-46.9621201
484,-23.7908044,-46.6395285
501,-23.7110008,-46.4159681
354,-22.6508601,-43.6591202
499,-22.9181418,-45.4580466
512,-23.6434885,-46.5834969
432,-26.9859975,-48.6363818
132,-16.6629826,-49.2651348
529,-23.602721,-46.5975964
471,-23.5422696,-46.3671102
439,-27.8128864,-50.3236733
513,-23.6434885,-46.5834969
334,-25.4282779,-49.2714702
434,-27.1120751,-52.6039235
524,-23.602721,-46.5975964
337,-23.4272152,-51.9394126
511,-23.6434885,-46.5834969
131,-15.5591622,-47.3266162
401,-31.3317595,-54.1038619
536,-23.5543289,-46.3204991
366,-22.466653,-44.4582937
365,-22.7206969,-43.5546867
533,-22.8169239,-47.2701064
541,-22.9763629,-47.0060226
506,-22.763025,-47.4147321
507,-22.3439055,-46.9443786
496,-23.5376526,-46.7888967
538,-23.0309385,-45.5483236
436,-27.5966,-48.554914
502,-21.2633373,-47.8056964
514,-23.6434885,-46.5834969
406,-29.8377093,-51.1716107
486,-23.2602249,-47.3002851
468,-22.5706165,-44.9627584
340,-25.0510714,-50.1329473
359,-22.8115519,-43.4143649
516,-22.0157824,-47.8847321
520,-23.602721,-46.5975964
510,-23.9561778,-46.3121095
515,-23.6246954,-46.5475365
126,-16.3238612,-48.951776
382,-22.1262347,-43.2207073
500,-23.5333005,-46.3311047
116,-15.79211,-47.897751
480,-23.981256,-48.879531
369,-22.8976297,-43.1928756
497,-23.5376526,-46.7888967
505,-23.1993931,-47.304585
142,-16.0559357,-48.004374
456,-22.6667456,-50.428232
487,-23.406486,-47.3486311
481,-23.5325624,-46.9772966
339,-25.5664615,-48.571263
461,-22.8841363,-48.4412549
400,-29.7789303,-55.7876454
525,-23.602721,-46.5975964
422,-29.7637086,-51.1559259
135,-16.2511133,-47.9274618
221,-19.0050968,-57.636529
467,-23.577352,-46.927097
412,-28.2606602,-52.4012669
494,-22.7653095,-47.387329
469,-23.6886288,-46.5850799
331,-24.0430804,-52.3910015
437,-26.8929004,-48.7015768
508,-22.3439055,-46.9443786
138,-17.7926515,-50.9328316
464,-22.9025112,-47.0570856
440,-27.6597149,-48.673985
472,-20.5293183,-47.3887179
482,-23.5325624,-46.9772966
338,-23.410858,-51.9447894
454,-21.203385,-50.4439728
229,-11.8480193,-55.5081012
462,-23.1078,-45.703852
136,-16.0582206,-48.0446383
523,-23.602721,-46.5975964
459,-20.9400441,-48.4812248
493,-22.7653095,-47.387329
479,-23.721114,-46.8328707
491,-22.2242358,-49.9495068
367,-22.7094519,-42.6227676
528,-23.602721,-46.5975964
330,-25.5881164,-49.3983234
503,-21.1766753,-47.8056964
457,-23.1094503,-48.9228016
521,-23.602721,-46.5975964
458,-20.554547,-48.578721
537,-23.642182,-46.805065
363,-22.5015876,-43.1674506
483,-23.7908044,-46.6395285
368,-22.8875724,-43.256382
527,-23.602721,-46.5975964
532,-21.1389483,-47.9985512
232,-15.6003024,-56.1672448
463,-22.8818412,-47.0704677
402,-29.9245592,-51.1820694
470,-23.6886288,-46.5850799
473,-23.3135805,-46.7252429
465,-23.5163247,-46.8400227
362,-22.8630046,-42.3080137
416,-30.8833826,-55.5455171
455,-21.7830319,-48.1966691
355,-22.3716774,-41.7830347
257,-0.7568787,-47.8822604
