gid,lat,long,ano_farm_pop,mes_farm_pop,ds_endereco_farmacia,nu_cep_farmacia,uf,cidade
"17","-3.0206756","-59.9768139","2014","2","AVENIDA NOEL NUTELS Nº 811","69095000","AM","Manaus"
"444","-10.9128701","-37.0738442","2014","2","RUA CARLOS CORREIA, 528","49075120","SE","Aracaju"
"543","-11.7120262","-49.0577212","2014","2","R PRESIDENTE JUSCELINO KUBSTCHEK Nº 1976","77405110","TO","Gurupi"
"234","-3.2038706","-52.2098158","2014","2","TRAV COMANDANTE CASTILHO Nº 600","68371000","PA","Altamira"
"41","-14.7997132","-39.0359037","2014","2","AV ALMIRANTE AURELINO LINHARES S/N","45653650","BA","Ilhéus"
"13","-7.2219137","-62.4504154","2014","2","AV MARECHAL DEODORO Nº13","69800000","AM","Humaitá"
"188","-19.6269473","-43.230096","2014","2","RUA NOVA ERA N 72","35900199","MG","Itabira"
"544","-10.3447781","-48.2998294","2014","2","AV JK QUADRA 106 NORTE ( ACSV NE12 LOTE 16)","77016010","TO","Palmas"
"26","0.1755009","-51.4309582","2014","2","RUA UBALDO FIGUEIRA","68925000","AP","Santana"
"175","-19.9076079","-43.952023","2014","2","RUA DA FORMIGA, Nº140","31210780","MG","Belo Horizonte"
"260","-4.2561028","-55.9887745","2014","2","TR JOAO PESSOA, SN E","68180610","PA","Itaituba"
"168","-5.1123416","-42.8235685","2014","2","RUA MIGUEL SIMAO 528","65630220","MA","Timon"
"243","-1.4540978","-48.4916789","2014","2","AVENIDA INDEPENDENCIA Nº 13","66000000","PA","Belém"
"68","-12.9937824","-38.4922195","2014","2","AVENIDA GRAÇA LESSA Nº888 VALE DO OGUNJA","40290500","BA","Salvador"
"386","-5.7877742","-35.1999112","2014","2","AVENIDA PRESIDENTE DUTRA Nº 213","5962500","RN","Mossoró"
"73","-12.9488576","-38.4941904","2014","2","RUA LIMA E SILVA, Nº 249","40375010","BA","Salvador"
"315","-9.3809135","-40.4999942","2014","2","RUA ANTONIO PEDROSA N 210B","56330075","PE","Petrolina"
"113","-4.8149897","-38.1054495","2014","2","AVENIDA CORONEL ARAUJO LIMA Nº 1430","62900000","CE","Russas"
"396","-8.7528012","-63.8679364","2014","2","RUA JOAQUIM NABUCO N 2301","78900850","RO","Porto Velho"
"306","-8.0161148","-34.9919961","2014","2","AVENIDA BELMINO CORREIA Nº 840","54768000","PE","Camaragibe"
"321","-2.9028575","-41.7792507","2014","2","PRACA SANTO ANTONIO SN","64200361","PI","Parnaíba"
"186","-18.8610867","-41.9469281","2014","2","RUA MARECHAL DEODORO Nº 368","35010280","MG","Governador Valadares"
"119","-20.3390799","-40.3839551","2014","2","RUA JOAO LOPES ROGERIO Nº 08","29146330","ES","Cariacica"
"271","-8.0359447","-50.0367343","2014","2","RUA ADEMAR GUIMARAES SN QUADRA 82","68552390","PA","Redenção"
"445","-10.9159926","-37.0547924","2014","2","RUA ESTANCIA N 772","49010180","SE","Aracaju"
"155","-5.5364337","-47.4892304","2014","2","RUA CEARA Nº 580","65900100","MA","Imperatriz"
"394","-5.9185465","-35.2766442","2014","2","RUA PEDRO BEZERRA FILHO, Nº 15","59141175","RN","Parnamirim"
"27","-12.1199217","-38.4192541","2014","2","PRACA DA BANDEIRA, SN","48010110","BA","Alagoinhas"
