id,nu_ddd_farmacia,nu_telefone_farmacia,nu_cep_farmacia
0,54,33131900,97050601
1,51,32463069,91770001
2,51,36661255,95535000
3,47,33970254,89110000
4,33,32311067,35120000
5,48,35243900,88900000
6,54,34523235,95700000
7,48,33430570,88104400
8,67,34415907,79750000
9,48,32435128,88160000
10,73,32091262,45928000
11,51,33377335,90520000
12,54,33851008,99490000
13,51,33954633,90560004
14,45,35652137,85877000
15,54,33129100,99010000
16,48,32245395,88020304
17,19,32312529,13015002
18,47,34737575,89218500
19,32,34216514,36774128
20,41,32138376,83408485
21,47,33332280,89130000
22,51,35116754,95010002
23,41,32138242,80420090
24,51,32221000,91900000
25,51,35921820,93010002
26,43,33480351,86070470
27,49,34421224,89700000
28,54,21085650,95076090
29,41,35696769,81030020
30,43,32563277,8660000
31,43,35281543,84950000
32,49,3246-251,89580000
33,47,33226860,89010203
34,49,35410314,89620000
35,51,34850220,94410000
36,51,37721372,95995000
37,53,32422748,96400001
38,67,33836078,79002336
39,51,33412830,91010005
40,48,33576288,88101101
41,47,33488924,88010100
42,31,38381397,35910000
43,41,33828900,83005570
44,51,35111000,96880970
45,42,36421135,85150000
46,48,32572107,88122200
47,42,32331699,84174410
48,37,34211481,35595000
49,18,37422901,15385000
50,51,32175000,90620130
51,54,33131900,95400000
52,55,34134020,97500181
53,44,36451551,85990000
54,51,34771182,92010300
55,49,33640170,89871000
56,49,33442110,8999000
57,91,30844671,65901190
58,91,30844609,66811000
59,47,36350819,89290000
60,49,33237777,89807000
61,48,36430228,88770000
62,54,33311448,99500000
63,43,35575959,84990000
64,51,33371659,91020000
65,49,34449866,89700000
66,19,36514187,13990000
67,54,33177083,96930000
68,51,32241085,90020011
69,44,30455900,87702260
70,46,3224168,85501010
71,48,36450178,88740000
72,54,33350100,98040070
73,81,30844646,52060140
74,47,34329176,89204060
75,55,33333173,98700000
76,51,32220925,90230002
77,54,32914040,95190000
78,91,30844671,68901130
79,54,33131900,95020520
80,54,33350100,93800000
81,51,35111067,97541260
82,51,37311822,96640000
83,91,30844609,66035340
84,51,35415959,95600000
85,51,36771053,96190000
86,41,32138240,86084000
87,47,33826145,89120000
88,54,33350100,99150000
89,91,30844609,65075441
90,51,37141048,95900000
91,42,36771166,85170000
92,47,36263214,89290000
93,42,30268231,84053000
94,54,35365076,95020172
95,54,32181233,95054000
96,54,33441035,99950000
97,55,34125818,97510431
98,48,35334967,88960000
99,45,35723557,85851000
100,12,39521441,12335000
101,41,32138240,81630000
102,51,35982525,93700000
103,51,32246776,90030141
104,54,33131900,88330048
105,54,35311136,99850000
106,47,32465561,88310001
107,43,33378567,86031580
108,41,32138376,80610905
109,51,35116754,93800000
110,41,32138376,82800240
111,31,37541172,36455000
112,54,33331004,99530000
113,54,33350100,95780000
114,49,35671727,89500000
115,35,38511593,37170000
116,51,36561490,96750000
117,91,30844609,66010090
118,55,34221002,97541000
119,54,33851386,99490000
120,51,37551321,95970000
121,19,34324488,13400075
122,54,33317430,99500000
123,55,34224024,97542570
124,41,32138376,83005010
125,54,33131900,96700000
126,11,47181277,18120000
127,51,35111000,94185352
128,41,32338642,80020310
129,47,36322360,89294000
130,48,36422049,88735000
131,91,30844609,66613710
132,51,35111067,93260004
133,45,32351425,85485000
134,55,33228022,98100000
135,49,36450322,89920000
136,43,33251599,86026140
137,43,32582007,86200000
138,91,30844609,67133000
139,54,33421483,99150000
140,55,33121258,98801690
141,51,33321582,90430100
142,47,33320622,89110000
143,51,34421475,94810001
144,41,32138240,85501000
145,51,33747947,90250040
146,55,3333-563,98700000
147,41,32138376,84045980
148,54,33131900,96400003
149,91,30844608,68500430
150,48,30353322,88111500
151,43,34291930,86820000
152,51,32127255,90030003
153,51,35116754,98700970
154,19,38935935,13920000
155,51,35116754,92010260
156,47,33518107,88357100
157,48,34387150,88818400
158,54,33131900,98801590
159,54,32616428,95180000
160,54,33681411,99730000
161,41,3213-824,17016080
162,54,33173030,99010000
163,41,32138242,89201330
164,54,33321600,99470000
165,55,37941103,98470000
166,95,36261881,69312318
167,43,32524373,86701140
168,54,33318418,99500000
169,51,37101793,95900000
170,51,35111000,94810002
171,48,32421086,88131000
172,41,33485850,81920250
173,54,33131900,89560000
174,75,34246071,44340000
175,91,30844609,65903280
176,91,3084-460,68450000
177,51,37421223,96900000
178,55,35511128,98500000
179,49,36341124,89899000
180,54,32923636,95270000
181,42,32291355,84043000
182,69,33413199,76993000
183,49,36420167,89940000
184,91,91596582,66075000
185,91,30844609,66040000
186,51,34773733,92010190
187,54,33350100,96030002
188,47,34325002,89248000
189,51,35116754,95010000
190,51,36621994,95500000
191,44,35281818,85935000
192,51,35116754,95780000
193,53,32221034,96020080
194,41,32138240,81530250
195,16,38396161,14500000
196,41,32268000,81590180
197,41,32138376,80035000
198,54,33721918,99800000
199,44,34251323,87900000
200,51,37431400,96930000
201,55,5532811,96570000
202,75,32712193,48500000
203,45,32642778,85884000
204,54,33350100,96055000
205,32,32225859,36088000
206,86,91987987,64600000
207,47,35621450,89190000
208,41,33242050,80010080
209,44,35282086,85935000
210,51,35111067,88501000
211,41,36732197,83301010
212,44,32332368,86975000
213,54,33350100,95180000
214,47,33731976,89270000
215,51,37111636,96810000
216,51,36581492,96745000
217,41,34621345,83350000
218,43,35271435,86400000
219,51,3481-950,88104800
220,51,36281332,95530000
221,51,35111067,97541001
222,19,38638319,13973255
223,54,33131900,99010050
224,41,32138240,85851000
225,47,33482431,88301200
226,54,33131900,96503491
227,51,35685537,93010210
228,19,34512199,13483126
229,54,33131900,95900970
230,47,35344139,88420000
231,51,37661350,95870000
232,53,32227416,96020220
233,86,32353298,64082300
234,95,36261374,69313438
235,43,35354635,84200000
236,54,33131900,98170000
237,55,34133535,97500006
238,51,35116754,98801640
239,42,32523629,84130000
240,54,33921107,99495000
241,51,34524330,93222000
242,54,33131900,95034000
243,43,34671217,86848000
244,15,32831736,18500000
245,45,32721187,85896000
246,49,34350388,89683000
247,43,33799104,86060000
248,46,35631841,85710000
249,48,34660516,88870000
250,44,34722219,88870000
251,43,35241751,86300000
252,91,30844609,66060670
253,49,34424605,89700000
254,51,37123412,95880000
255,47,33555029,88350345
256,41,32138240,83414290
257,48,34652384,88840000
258,91,30844609,65075000
259,91,30844609,66630505
260,51,35611964,93600000
261,51,33366600,90870001
262,71,33844016,41195000
263,47,32520433,88352001
264,54,33131900,95800000
265,45,35248108,85869580
266,42,36236875,84500000
267,19,34260017,13417780
268,44,32322146,86990000
269,53,32339704,96200100
270,47,34371478,89227015
271,41,33386610,80520250
272,48,34374895,88801250
273,35,32321011,37410000
274,51,35111067,94910001
275,49,32222503,88502000
276,51,35918868,92500000
277,43,32581864,86200000
278,54,33311510,99500000
279,47,36222121,89460000
280,54,33350100,93210240
281,51,33281410,90480201
282,54,32225422,95072000
283,54,33131900,95940000
284,44,36451010,85990000
285,75,36622438,45490000
286,42,36237701,85070180
287,51,34760587,92020001
288,49,33243523,89802120
289,41,32138344,88062020
290,54,33350100,98855000
291,91,30844609,68447000
292,51,33364786,90870001
293,55,32551530,97760000
294,51,34912562,92500000
295,53,32328381,96200350
296,54,33131900,99250000
297,41,32681690,81150050
298,55,32814700,96570000
299,49,35451235,89636000
300,41,35563796,83005570
301,44,32751229,86960000
302,54,33350100,95700000
303,91,30844671,68660000
304,41,36291192,83190000
305,44,34271235,87950000
306,19,38610129,13845440
307,54,32280438,96090000
308,47,32226142,89069000
309,45,32491181,85425000
310,51,35111067,95270000
311,51,32335733,90880481
312,51,34973967,90010000
313,41,33993240,83604480
314,51,34771182,94190300
315,91,30844609,66015350
316,41,33792570,81910000
317,41,33328590,80230150
318,54,34414761,95330000
319,55,33328670,98700000
320,45,32421772,85420000
321,51,34771182,92010300
322,41,33301729,86010390
323,48,34476102,88845000
324,48,34382266,88806700
325,55,35111311,98900000
326,49,33223753,89802400
327,47,35211842,89160000
328,48,35341355,88965000
329,43,3660-133,86635000
330,47,35331259,88400000
331,44,36531235,87450000
332,54,33131900,95020172
333,54,33131900,98801650
334,49,33532033,89825000
335,49,36441487,89950000
336,51,33742600,90240111
337,18,3281-112,19470000
338,54,33113115,99010032
339,54,33215288,99700000
340,51,35111067,91900000
341,91,30844608,66615170
342,51,37121773,95880000
343,44,32511193,86720000
344,19,35832667,13690000
345,41,32331709,83280000
346,53,32431503,96450000
347,41,32252053,80430210
348,51,35111067,92030000
349,44,33231804,86690000
350,75,36245550,44021215
351,48,91630506,88010301
352,91,30844609,68509020
353,55,35331211,98690000
354,51,35111067,93600970
355,48,33460485,88110500
356,51,34590873,93260077
357,47,34372921,89221515
358,51,37551321,95970000
359,43,34411218,86910000
360,51,30846743,90160002
361,19,32313113,13012100
362,45,32227923,85811030
363,51,34859741,9441050
364,43,3379-910,86010160
365,34,32328989,38402288
366,55,32521505,97610000
367,54,33350100,95290970
368,51,35943785,93320010
369,42,36236875,83601020
370,43,35591507,86455000
371,54,33350100,95330000
372,51,35631693,93900000
373,54,34531727,95700000
374,91,30844609,66645000
375,55,32631221,97220000
376,11,45185050,93505800
377,49,34522344,89770000
378,51,35116754,95630000
379,51,35111067,90160006
380,41,32464044,81050001
381,16,32523958,15900000
382,51,32230130,90040001
383,54,33350100,95590000
384,44,32642500,87111210
385,41,32138376,81050001
386,51,37221256,96508010
387,43,32721231,86610000
388,54,33350100,99025604
389,62,33363336,72920000
390,32,641257,85884000
391,49,36479100,89887000
392,43,35250467,86400000
393,54,33350100,90560002
394,51,35116754,92010970
395,43,31520018,86701140
396,47,33771153,89115000
397,41,32138376,80020320
398,43,31620000,86800005
399,51,35116754,96085000
400,51,36844613,95590000
401,49,33320105,89843000
402,43,33799013,86039090
403,51,35931866,93352000
404,47,36331301,89288070
405,54,33131900,95700000
406,47,33223092,89010000
407,51,34819500,93510001
408,49,33287444,89809506
409,91,30844608,65700000
410,45,35251212,85862000
411,49,34360164,89694000
412,51,36621976,95500000
413,47,33323088,89110000
414,54,33350100,97670000
415,55,32491000,97700000
416,51,32227851,90560002
417,49,34339290,89820000
418,41,32138376,84053000
419,47,33671273,88330040
420,47,34630179,89210505
421,43,34651249,86850000
422,41,32138376,80060090
423,45,39021525,85806000
424,55,32661288,97250000
425,51,37412778,95800000
426,54,35523552,99860000
427,48,35336100,88960000
428,51,37222070,96501000
429,51,33299598,91010002
430,51,34771182,92310001
431,74,36571173,44905000
432,49,33240317,89810010
433,41,34586155,83255000
434,49,32784291,88650000
435,49,33410122,89839000
436,41,32138344,85810110
437,47,3394-530,89130000
438,54,3568-012,99735000
439,44,32241625,87015280
440,43,35481249,84290000
441,49,32227715,88501102
442,54,33241158,99450000
443,41,32138242,81650330
444,91,30844609,66060160
445,51,32175000,90620130
446,54,33131900,96180000
447,48,34626570,88800000
448,51,36631507,95520000
449,67,33821704,79002204
450,54,32052161,95110900
451,41,33661137,82940090
452,47,34549263,89211301
453,35,35394004,37950000
454,46,35451153,85685000
455,51,35111000,90030140
456,43,34511325,86945000
457,54,34554333,95700000
458,54,33309797,99500000
459,54,32511016,95480000
460,54,32212124,9501002
461,51,3330784,90480003
462,51,32248587,90030140
463,43,33799009,86026180
464,91,37297390,68625080
465,55,33591686,97900000
466,94,37851325,68473000
467,51,33641419,91140001
468,51,36671828,95580000
469,41,32725186,82400000
470,41,32138376,87111220
471,43,32751310,86701000
472,54,33131900,95250000
473,91,30844609,66025540
474,54,33177083,96810530
475,54,33131900,99150000
476,42,32275600,84070360
477,55,37443839,98400000
478,91,30844609,64055305
479,48,32411861,88450000
480,54,32312223,95200000
481,51,34737819,93260003
482,51,36641040,95560000
483,51,34771182,92120030
484,51,37541732,95885000
485,48,35330553,88960000
486,91,30844671,64025520
487,43,33790620,86060000
488,41,32352400,80520176
489,47,33381070,89053200
490,41,3821217,83040420
491,47,34474344,88801505
492,49,35251091,89670000
