id,lat,long
0,-29.6898862,-53.8040591
1,-30.1456673,-51.210841
2,-29.5492369,-50.090695
3,-26.914769,-48.965757
4,-19.1713662,-41.8637037
5,-15.4676289,-58.3560477
6,-29.1902046,-51.5295439
7,-27.6193804,-48.6075997
8,-22.2493121,-53.3433892
9,-27.4902686,-48.6891065
10,-13.9,-41.816667
11,-29.937303,-51.1631204
12,-28.6634234,-52.8654322
13,-30.02128,-51.2062618
14,-25.2833213,-54.0978972
15,-28.2522125,-52.416588
16,-27.58479,-48.5437358
17,-22.906507,-47.0595187
18,-26.2683593,-48.8567224
19,-21.3764477,-42.6953894
20,-25.3647359,-49.1771462
21,-26.8915912,-49.249999
22,-29.1680946,-51.1845415
23,-25.4092774,-49.2860627
24,-30.0764919,-51.235704
25,-30.0636704,-51.1755714
26,-23.2963543,-51.1794546
27,-27.196125,-52.1925206
28,-29.1874329,-51.1480862
29,-25.4835974,-49.2613339
30,-23.3057173,-51.4033038
31,-23.8638157,-49.801002
32,-27.0366978,-50.9728478
33,-26.918895,-49.0665588
34,-27.3873752,-51.1704657
35,-30.1065005,-50.9556711
36,-28.8253589,-52.2922938
37,-31.3344288,-54.1024996
38,-20.4578543,-54.617721
39,-30.0039053,-51.1572386
40,-27.592219,-48.6125796
41,-27.5957355,-48.5524934
42,-19.4503089,-43.1001304
43,-25.5422365,-49.1973901
44,-29.9314063,-51.0444537
45,-25.0464889,-51.5423373
46,-27.5869296,-48.6714791
47,-24.8019919,-49.993746
48,-19.8565694,-45.6498138
49,-20.4187502,-51.3417834
50,-30.0493347,-51.2049536
51,-29.2028618,-50.5561179
52,-29.7568068,-57.0865229
53,-24.231279,-54.0575748
54,-29.9204496,-51.1761866
55,-26.7274816,-53.0405199
56,-26.3393934,-48.8504682
57,-5.5391521,-47.4760118
58,-1.3524977,-48.4562448
59,-26.2902588,-49.1534542
60,-28.2354492,-51.5152217
61,-28.4661684,-48.8832343
62,-27.9983338,-52.666496
63,-17.7894412,-50.9354742
64,-30.0019357,-51.1513746
65,-27.196125,-52.1925206
66,-22.1547802,-46.8071859
67,-29.6769519,-52.8313051
68,-30.0297894,-51.2271918
69,-23.0788932,-52.4658479
70,-26.2266973,-52.6727188
71,-28.2658059,-48.9990556
72,-28.6480882,-53.5924419
73,-8.0374152,-34.9148236
74,-26.2727062,-48.8573491
75,-22.7663634,-43.3348977
76,-30.0162902,-51.2095349
77,-28.9839403,-51.0593992
78,0.0384901,-51.0544061
79,-29.1686464,-51.1742272
80,-29.6100229,-51.0371452
81,-15.7531789,-48.3078624
82,-30.0367086,-52.4510344
83,-1.4565045,-48.4880976
84,-29.5884977,-50.7626686
85,-30.7051797,-52.1083227
86,-23.263736,-51.161809
87,-26.5834068,-49.090403
88,-28.8530142,-52.2461973
89,-2.5102687,-44.2911168
90,-29.4502864,-51.9964368
91,-25.6472874,-51.5269968
92,-26.2902588,-49.1534542
93,-25.0816751,-50.1813256
