gid,co_cep,nu_telefone,ano_upa_func,mes_upa_func,fonte_recurso,porte
6834477,,6436202040,2015,11,MS,1
7458606,,9232499050,2015,11,MS,3
2589648,74975-385,3545 9953,2015,11,MS,3
6922333,43815-360,,2015,11,MS,1
2164175,,(31)36371992,2015,11,MS,2
6995160,40411-900,(71) 3316-8600,2015,11,MS,3
2061767,,(19) 3425-3284,2015,11,MS,2
7206445,14150-000,(16) 3987-1513,2015,11,MS,1
6716938,22775-002,35507060,2015,11,MS,3
7546696,,13-3361.6388,2015,11,MS,1
7108648,17052-170,3106-1121,2015,11,MS,1
23582,31515-000,(31)32775438,2015,11,MS,3
7494068,,(11)4647-0212,2015,11,MS,2
23051,,(31)32776646,2015,11,MS,2
5955637,23590-060,33139218,2015,11,MS,3
7103255,,32605303,2015,11,MS,2
6631819,,08737277814,2015,11,MS,3
7003692,28927-000,22 26461736,2015,11,MS,2
6411169,,48-30398460,2015,11,MS,1
6690742,,81 31844543,2015,11,MS,3
7746180,,1637216807,2015,11,MS,3
5053293,,35435112,2015,11,MS,2
5955661,20520-054,23341921,2015,11,MS,3
5955688,21625-130,33394819,2015,11,MS,3
7665199,,,2015,11,MS,1
7039336,89240-000,47-34446277,2015,11,MS,1
6443419,53401-030,(81) 31844253,2015,11,MS,3
7399626,,,2015,11,MS,1
7429568,15900-000,,2015,11,MS,1
6439993,89226-205,4734354221,2015,11,MS,3
2061724,,(19) 3434-2296,2015,11,MS,2
7636822,42800-100,71 30408304,2015,11,MS,2
7471777,,19 34612517,2015,11,MS,1
7064578,75690-000,(64) 3453-0022,2015,11,MS,2
6463487,36070-060,(32)2102-0898,2015,11,MS,3
6985483,,85 32168316,2015,11,MS,3
6737633,47600-000,77 3481 7907,2015,11,MS,1
5874998,13100-000,32218505,2015,11,MS,3
7709196,,,2015,11,MS,1
6950302,,(15) 32191192,2015,11,MS,2
7499914,,5137932100,2015,11,MS,1
7529368,,62 39022165,2015,11,MS,3
2822318,83323-390,(41)30599292,2015,11,MS,2
6716911,20211-030,21-25071311,2015,11,MS,3
7345259,54340-605,,2015,11,MS,1
6885284,,33513661,2015,11,MS,2
7126484,15700-202,17-3632-8765,2015,11,MS,1
7616902,,43 3178 0348,2015,11,MS,1
2160137,35.519-000,037-3226.6166,2015,11,MS,1
6821197,,4178-4309,2015,11,MS,2
7052251,,83 33412079,2015,11,MS,3
7066953,88310-690,04732495500,2015,11,MS,1
6826393,,,2015,11,MS,2
7242492,89900-000,(49) 3621-2991,2015,11,MS,1
7113218,09020-000,49947651,2015,11,MS,2
7410042,,88-36912019,2015,11,MS,1
7460953,,,2015,11,MS,1
7467206,,13 38213155,2015,11,MS,1
2680017,,(69)2271083,2015,11,MS,2
6999506,,32168314,2015,11,MS,2
7466412,,,2015,11,MS,2
6607667,,11 4129-2744,2015,11,MS,2
3827836,,041-32121470,2015,11,MS,2
7103271,17400-000,14-3406.4564,2015,11,MS,1
2063603,,(19)38354900,2015,11,MS,2
6976794,45980-000,40915467,2015,11,MS,2
7058284,,83 88298453,2015,11,MS,1
7372523,,85 33522619,2015,11,MS,1
7102429,09405-390,48228000,2015,11,MS,2
6986609,,32214812,2015,11,MS,3
2190125,32072-180,(31)3352-3312/5692,2015,11,MS,1
6858317,22031-071,23339289,2015,11,MS,3
7507631,,,2015,11,MS,1
7638698,04377-036,56719211,2015,11,MS,3
6914624,,4239062288,2015,11,MS,2
7625987,25070-260,,2015,11,MS,3
4340,41610-640,(71) 3611-7118,2015,11,MS,3
2639548,,(41)3373-1332,2015,11,MS,3
7744293,,9936435269,2015,11,MS,2
2438917,,41- 3217-1201,2015,11,MS,3
7459750,,,2015,11,MS,1
7434472,,,2015,11,MS,1
7445032,,(51) 3982-1473,2015,11,MS,2
7321880,,02433409813,2015,11,MS,2
7396805,,(85)3315-1111,2015,11,MS,2
2492555,,(63)32185569,2015,11,MS,2
6531288,,843614 5280,2015,11,MS,2
6916074,7172000,1122292240,2015,11,MS,3
6629989,,,2015,11,MS,3
6992552,17605-400,14 3441-4292,2015,11,MS,2
2189852,32310-210,(31)3395-4677,2015,11,MS,3
6270131,15051-000,17-32151192,2015,11,MS,2
7136552,24120-395,21-26257807,2015,11,MS,3
7525427,,34 3822-9641,2015,11,MS,3
7130538,19.911-205,1433262494,2015,11,MS,2
7592191,,7734315812 998043962,2015,11,MS,1
6928331,65630000,,2015,11,MS,2
7030878,09624-070,4368-1222,2015,11,MS,2
3936082,15130000,17-32533285,2015,11,MS,1
6975402,78890-000,35445989,2015,11,MS,1
7094647,48904-060,7436134288,2015,11,MS,2
2033623,13574-140,16-33712100,2015,11,MS,1
7101856,22745-290,35507080,2015,11,MS,3
2087693,,(19)38974485,2015,11,MS,1
7065485,26.584-001,21-26257807,2015,11,MS,3
7061838,35.670-000,,2015,11,MS,1
6042619,21063-400,02433229298,2015,11,MS,3
6091997,26291-200,27794497,2015,11,MS,3
7521316,,(71) 3395-2884,2015,11,MS,3
7115652,13820-000,,2015,11,MS,1
7018800,,85 32168316,2015,11,MS,3
7021909,,,2015,11,MS,1
7110162,21540-520,35141487,2015,11,MS,3
5617286,,,2015,11,MS,2
7090064,13257-570,,2015,11,MS,1
6680704,21532-200,25086990,2015,11,MS,3
6742017,,(84)3271-4204,2015,11,MS,1
7169310,09790-400,11 43388536,2015,11,MS,2
6272320,27210-240,2433384576,2015,11,MS,3
7076886,35.460-000,,2015,11,MS,1
7697422,14716038,(17) 3344-8100,2015,11,MS,2
6507557,725000-000,8131844378,2015,11,MS,3
7084129,46900-000,7533313919,2015,11,MS,1
