gid,latitude,longitude
6834477,-17.787653,-50.9187787
7458606,-3.0078867,-60.0606392
2589648,-16.8357895,-49.2495495
6922333,-12.6720125,-38.5475041
2164175,-19.7841378,-43.9253921
6995160,-12.9459957,-38.5013277
2061767,-22.6709523,-47.6932734
7206445,-21.2076722,-47.6048899
6716938,-22.9938876,-43.3630091
7546696,-23.9246117,-46.4161678
7108648,-22.3370488,-49.0906299
23582,-19.8186038,-43.9534329
7494068,-23.4849456,-46.3494828
23051,-19.9030559,-43.9335729
5955637,-22.9332957,-43.6612018
7103255,-3.8938752,-38.449701
6631819,-8.3007399,-35.9605188
7003692,-22.677562,-42.0068151
6411169,-27.5059361,-48.6560379
6690742,-8.2967516,-35.0272619
7746180,-20.574443,-47.3726967
5053293,-22.3529687,-47.3343523
5955661,-22.9321098,-43.2401566
5955688,-22.8433194,-43.3978908
7665199,-19.0454597,-57.6454391
7039336,-26.2139466,-48.5253276
6443419,-7.9431439,-34.881574
7399626,-4.9271161,-37.9724259
7429568,-21.4023648,-48.4976322
6439993,-26.2430901,-48.819824
2061724,-22.7454232,-47.6620131
7636822,-12.6924149,-38.3353413
7471777,-22.7632798,-47.3414578
7064578,-17.7445191,-48.6250248
6463487,-21.7891172,-43.3531692
6985483,-3.7209233,-38.4619914
6737633,-13.2450495,-43.4018995
5874998,-22.9099384,-47.0626332
7709196,0.0932347,-51.0460623
6950302,-23.5015299,-47.4525603
7499914,-29.611063,-52.2101575
7529368,-16.3896062,-48.9587167
2822318,-25.4340735,-49.1866432
6716911,-22.9108947,-43.1927786
7345259,-8.1721658,-34.9986835
6885284,-23.9816758,-46.2296774
7126484,-20.2686874,-50.5490441
7616902,-23.2634275,-51.0575802
2160137,-19.8737889,-44.9891854
6821197,-23.67101,-46.582895
7052251,-7.2072372,-35.8753835
7066953,-26.8966705,-48.7062655
6826393,-2.5198082,-44.2020491
7242492,-26.7225677,-53.5182628
7113218,-23.6633839,-46.5265752
7410042,-5.1698117,-40.6635337
7460953,-6.3494333,-39.2997598
7467206,-24.5002295,-47.8448116
2680017,-8.7803556,-63.8775571
6999506,-3.7556992,-38.5953017
7466412,-22.960317,-46.9889371
6607667,-23.7393981,-46.5957438
3827836,-25.515286,-49.3031637
7103271,-22.2131635,-49.6555394
2063603,-23.1192874,-47.2337965
6976794,-23.6646127,-46.617578
7058284,-7.8887727,-37.1171012
7372523,-3.7924795,-39.2698136
7102429,-23.6944273,-46.3965852
6986609,-23.4520261,-51.9236897
2190125,-19.9304982,-44.1138478
6858317,-22.9663935,-43.1870746
7507631,-20.2590637,-43.7865983
7638698,-23.6565963,-46.6535806
6914624,-24.7895729,-50.0112458
7625987,-22.5712929,-43.2810577
4340,-12.9475499,-38.3664149
2639548,-25.4418683,-49.3395726
7744293,-5.5018917,-45.2464996
2438917,-25.4929047,-49.2460813
7459750,-4.2314555,-69.9369359
7434472,-4.9684385,-39.0161259
7445032,-29.4603123,-52.0031543
7321880,-22.5577208,-44.1200642
7396805,-3.5533237,-38.8257748
2492555,-10.3223083,-48.3009872
6531288,-5.7220175,-35.2432022
6916074,-23.4171716,-46.4555165
6629989,-21.7368255,-41.3270561
6992552,-21.9393766,-50.5206399
2189852,-19.9434777,-44.0351913
6270131,-20.7752687,-49.3686574
7136552,-22.8840039,-43.0831199
7525427,-18.61088,-46.5075228
7130538,-22.9589466,-49.8821225
7592191,-14.5251885,-40.3647775
6928331,-5.1077636,-42.8253707
7030878,-23.6553785,-46.5742749
3936082,-20.8123605,-49.5074183
6975402,-12.5409855,-55.7242022
7094647,-9.4384967,-40.4971627
2033623,-22.0352375,-47.8985413
7101856,-22.8885352,-43.4139727
2087693,-22.8533412,-47.2147082
7065485,-22.7947404,-43.4234849
7061838,-19.9985101,-44.4087348
6042619,-22.5408252,-44.1768576
6091997,-22.7977549,-43.577237
7521316,-12.9730401,-38.502304
7115652,-22.7042272,-46.9855088
7018800,-3.82049,-38.608672
7021909,-28.4997843,-50.9410068
7110162,-22.8502396,-43.3448295
5617286,-18.9639645,-48.2443291
7090064,-23.0039859,-46.8467996
6680704,-22.8219824,-43.3698852
6742017,-5.870043,-35.3531393
7169310,-23.7275153,-46.5487049
6272320,-22.4895991,-44.0677086
7076886,-20.1422837,-44.2065118
7697422,-20.949552,-48.4795365
6507557,-7.9800434,-35.055335
7084129,-12.4175067,-41.7692236
7103840,-11.303555,-41.8561503
5955211,-22.8751752,-43.2429859
7006810,-3.8402533,-38.4824514
6211496,-12.995115,-38.6997156
7326823,-23.2742429,-51.2683923
6847587,-2.4790511,-44.2116131
5967198,-22.7861566,-43.3252497
7278888,-1.3409964,-48.4154474
6972497,-23.5478975,-51.4548606
6037526,-22.9339999,-43.3776487
6629385,-22.8631923,-43.7779091
7031882,-19.6926423,-43.9200587
2115786,-20.0256695,-44.0572964
7455038,-18.8952909,-41.9488928
7637802,-7.7362129,-37.9916987
7299729,-10.6860748,-48.4013866
7561792,-7.1982622,-34.8456193
7434308,-3.7140579,-38.5476435
7304188,-16.784316,-49.3632339
6929583,-5.5215487,-47.4900414
7294700,-24.7353361,-53.7344
6507409,-22.9906905,-43.2523743
7417659,-19.4536019,-42.5526731
3708608,-23.1408265,-45.7818141
5625416,-22.6001427,-48.795823
6947077,-1.2056483,-47.178192
6851304,-2.5115056,-44.2525545
7409354,-20.7941692,-49.3955687
7372116,-9.710143,-35.897056
7155832,-28.9452308,-49.4915975
6909663,-22.5166104,-43.1838174
7040792,-23.3356872,-46.7253394
2706245,-20.7397682,-48.908687
6926177,-22.9674264,-43.7056394
10057,-20.5240788,-54.5820828
7535643,-25.6496489,-49.333946
7546777,-22.248924,-54.7863646
7260784,-1.3323677,-48.4499294
7404700,-22.827147,-42.11995
2389061,-5.1841285,-37.3477805
2485958,-20.1291481,-40.3068166
7054254,-29.9444481,-51.1833553
22683,-19.9957984,-44.0205138
6849636,-25.498158,-49.16885
7648227,-29.7745415,-55.7937388
6629954,-22.8741991,-43.0043245
7126816,-17.3340784,-39.2250585
7530005,-2.4486819,-54.7015981
7038895,-22.4233984,-47.5603433
2630036,-20.6601876,-40.5012663
7266650,-22.301358,-41.7058833
2639467,-25.4765441,-49.3203244
6038883,-22.8742659,-43.4316858
6488315,-8.0380409,-34.943629
2054728,-22.7053706,-47.6569129
7389272,-3.8548582,-40.9208016
6855881,-8.3023343,-35.9691537
2557096,-14.0648657,-42.4858867
2755289,-10.1701661,-48.3339796
6481876,-8.0832301,-34.9068029
7114893,-30.0102505,-51.1461606
2126133,-19.9486338,-44.1229631
7522738,-23.6103338,-46.9488022
17396,-25.3855993,-49.2330314
6035809,-22.7363461,-43.3763859
6754325,-7.135868,-34.9662353
7111924,-15.8773073,-47.9940334
6822576,-22.3096209,-49.0863018
6037550,-22.9068467,-43.1728965
7569793,-3.4931919,-39.5899541
6008054,-19.9109636,-44.0819032
2639556,-25.5287499,-49.2686365
7363559,-31.3222533,-54.0882995
7586361,-12.2177038,-38.9406247
